Id,SalePrice
1461,118827.802202507
1462,163418.383468855
1463,182294.92635297
1464,188071.964113238
1465,193792.060325214
1466,176386.372868878
1467,172313.43773187
1468,166482.718716583
1469,183659.22089791
1470,128383.903462009
1471,171519.062498946
1472,98567.7204659234
1473,96046.5610892462
1474,151012.53828273
1475,133096.584229395
1476,373170.516019627
1477,262036.298392919
1478,288846.015623277
1479,274660.959041487
1480,513335.943299468
1481,338929.128640426
1482,204111.621144829
1483,171969.398434425
1484,174545.614109189
1485,179266.697879917
1486,192275.184552484
1487,332620.554305881
1488,235560.248052564
1489,206572.985477658
1490,235563.708907758
1491,191221.419097496
1492,91416.5498102677
1493,182846.589828042
1494,293791.76833482
1495,288179.577309716
1496,241474.58055948
1497,180226.032843347
1498,166888.211888086
1499,164120.850742373
1500,151743.691583962
1501,173331.999808365
1502,155044.386833112
1503,282255.441981384
1504,248643.839307485
1505,229846.071889178
1506,188666.815342088
1507,236425.194879441
1508,195516.83899971
1509,168360.48847285
1510,151108.090203253
1511,150636.310826887
1512,173645.405582385
1513,137235.151626558
1514,150493.334684667
1515,178541.196616754
1516,148702.040468217
1517,161820.056588465
1518,133927.949426847
1519,206796.42500117
1520,138694.737714788
1521,141560.945320083
1522,170283.797218431
1523,120361.807641307
1524,126566.513297131
1525,123993.593590277
1526,118222.530581691
1527,106217.350281734
1528,130825.256924836
1529,153283.629416699
1530,172282.54693387
1531,97094.1096567316
1532,94819.3480230612
1533,143634.896891042
1534,122794.262481989
1535,148420.723974078
1536,111641.188702414
1537,67659.4173314911
1538,157036.050444295
1539,200680.088021544
1540,85838.6812054173
1541,144070.793323462
1542,141514.780658569
1543,220192.868241581
1544,83028.3497513714
1545,112080.446324696
1546,129557.459999878
1547,139127.273789245
1548,137913.896045473
1549,114120.288089232
1550,141978.167225643
1551,111465.956504269
1552,125966.728001218
1553,154931.011640205
1554,116895.224790878
1555,172826.522682419
1556,84056.160504618
1557,113787.454641606
1558,91048.2248300986
1559,96296.4944484417
1560,142043.263422113
1561,124178.926741836
1562,128851.421318377
1563,123241.830142532
1564,153829.112942384
1565,149070.829048803
1566,247374.50561858
1567,73850.680611218
1568,239964.030167333
1569,131041.779833381
1570,139420.365951489
1571,119070.738140744
1572,148100.980103951
1573,246159.772938386
1574,113293.625026424
1575,227896.020272701
1576,215190.632626141
1577,189895.83856321
1578,151044.871262625
1579,148695.855806488
1580,192770.683631012
1581,151332.532800458
1582,131717.384827292
1583,306678.208367842
1584,227331.346717516
1585,143658.702221751
1586,66859.625577437
1587,102937.914185973
1588,154667.818255614
1589,88932.2202194169
1590,138419.237591686
1591,97746.5970092325
1592,118811.852881463
1593,125135.461615388
1594,132730.276597205
